object_1,relations,object_2,image_Name
person,overlaps,person,images.jpg
person,overlaps,person,images.jpg
person,doesn't overlap,person,images.jpg
cat,is in the bottom of,cup,download (10).jpg
cup,is in the top of,cat,download (10).jpg
elephant,is in the bottom of,elephant,download (14).jpg
elephant,is in the top of,elephant,download (14).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the bottom of,cow,download (15).jpg
cow,is in the top of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the top of,cow,download (15).jpg
cow,is in the bottom of,cow,download (15).jpg
cow,is in the top of,cow,download (15).jpg
cow,is in the bottom of,cow,download (15).jpg
cow,is in the bottom of,cow,download (15).jpg
cow,is in the top of,cow,download (15).jpg
cow,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,cow,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
cow,is in the top of,cow,download (15).jpg
cow,is in the bottom of,cow,download (15).jpg
cow,is in the bottom of,cow,download (15).jpg
cow,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,cow,download (15).jpg
cow,is in the bottom of,cow,download (15).jpg
cow,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,cow,download (15).jpg
cow,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,cow,download (15).jpg
cow,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,cow,download (15).jpg
cow,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,cow,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (15).jpg
elephant,is in the bottom of,elephant,download (15).jpg
elephant,is in the top of,elephant,download (16).jpg
elephant,is in the bottom of,elephant,download (16).jpg
elephant,is in the top of,car,download (17).jpg
car,is in the bottom of,elephant,download (17).jpg
elephant,is in the top of,elephant,download (17).jpg
elephant,is in the bottom of,elephant,download (17).jpg
car,is in the bottom of,elephant,download (17).jpg
elephant,is in the top of,car,download (17).jpg
car,is in the bottom of,dog,download (18).jpg
dog,is in the top of,car,download (18).jpg
elephant,is in the top of,car,download (19).jpg
car,is in the bottom of,elephant,download (19).jpg
car,is in the bottom of,car,download (2).jpg
car,is in the top of,car,download (2).jpg
person,is in the top of,car,download (3).jpg
car,is in the bottom of,person,download (3).jpg
bus,is in the bottom of,traffic light,download (7).jpg
traffic light,is in the top of,bus,download (7).jpg
bus,is in the top of,person,download (9).jpg
person,is in the bottom of,bus,download (9).jpg
elephant,is in the top of,truck,images (1).jpg
truck,is in the bottom of,elephant,images (1).jpg
elephant,is in the top of,car,images (1).jpg
car,is in the bottom of,elephant,images (1).jpg
elephant,is in the top of,truck,images (1).jpg
truck,is in the bottom of,elephant,images (1).jpg
elephant,is in the top of,car,images (1).jpg
car,is in the bottom of,elephant,images (1).jpg
truck,is in the top of,car,images (1).jpg
car,is in the bottom of,truck,images (1).jpg
truck,is in the top of,truck,images (1).jpg
truck,is in the bottom of,truck,images (1).jpg
truck,is in the top of,car,images (1).jpg
car,is in the bottom of,truck,images (1).jpg
car,is in the bottom of,truck,images (1).jpg
truck,is in the top of,car,images (1).jpg
car,is in the bottom of,car,images (1).jpg
car,is in the top of,car,images (1).jpg
truck,is in the top of,car,images (1).jpg
car,is in the bottom of,truck,images (1).jpg
person,is in the bottom of,car,images.jpg
car,is in the top of,person,images.jpg
person,is in the bottom of,elephant,images.jpg
elephant,is in the top of,person,images.jpg
person,is in the bottom of,person,images.jpg
person,is in the top of,person,images.jpg
person,is in the bottom of,person,images.jpg
person,is in the top of,person,images.jpg
person,is in the bottom of,person,images.jpg
person,is in the top of,person,images.jpg
car,is in the bottom of,elephant,images.jpg
elephant,is in the top of,car,images.jpg
car,is in the top of,person,images.jpg
person,is in the bottom of,car,images.jpg
car,is in the top of,person,images.jpg
person,is in the bottom of,car,images.jpg
car,is in the top of,person,images.jpg
person,is in the bottom of,car,images.jpg
elephant,is in the top of,person,images.jpg
person,is in the bottom of,elephant,images.jpg
elephant,is in the top of,person,images.jpg
person,is in the bottom of,elephant,images.jpg
elephant,is in the top of,person,images.jpg
person,is in the bottom of,elephant,images.jpg
person,is in the bottom of,person,images.jpg
person,is in the top of,person,images.jpg
person,is in the bottom of,person,images.jpg
person,is in the top of,person,images.jpg
person,is in the bottom of,person,images.jpg
person,is in the top of,person,images.jpg
